ID,title,role,identification,reviewer,value in Derge colophon,ambiguity,note,sources
D1293,de kho na nyid kyi snang ba zhes bya ba,translatorPandita,P3244,,kha che'i paN+Di ta so ma nA tha,,,
D1293,de kho na nyid kyi snang ba zhes bya ba,requesterOfTranslation,P4CZ10573,,le'u ston rgya nag,,,
D1294,dgyes pa rdo rje'i lag tu blang ba'i rim pa zhes bya ba,author,P4180,,bod kyi lo tsA bsod nams rgyal mtshan,,,
D1294,dgyes pa rdo rje'i lag tu blang ba'i rim pa zhes bya ba,translator,P4180,,bod kyi lo tsA bsod nams rgyal mtshan,,,
D1295,gtor ma'i cho ga,author,P3379,,slob dpon chen po dpal mar me mdzad ye shes,,,
D1296,dpal dgyes pa rdo rje'i dkyil 'khor gyi cho ga zhes bya ba,author,P47,,ye shes kyi mkha' 'gro ma ni gu ma,,,
D1296,dpal dgyes pa rdo rje'i dkyil 'khor gyi cho ga zhes bya ba,translatorPandita,P47,,rdo rje ye shes mkha' 'gro ma,,,
D1296,dpal dgyes pa rdo rje'i dkyil 'khor gyi cho ga zhes bya ba,translator,P8203,,lo tsA ba rlan dar ma blo gros,,,
D1297,kye'i rdo rje phyag bcu drug pa'i sgrub pa'i thabs,author,P2956,,paN+Di ta A tsar+ya kr-iSh+Ta,,,
D1298,dpal dgyes pa'i rdo rje'i gtor ma'i rim pa,author,P3291,,slob dpon chen po a la la badzra,,,
D1298,dpal dgyes pa'i rdo rje'i gtor ma'i rim pa,translatorPandita,P3302,,N+Di ta kas+tha pa ga thA ga ya d+ha ra,,,
D1298,dpal dgyes pa'i rdo rje'i gtor ma'i rim pa,translator,P8129,,bod kyi lo tsA ba gyi jo zla ba'i 'od zer,,,
D1299,gtor ma'i las kyi rim pa zhes bya ba,author,P5006,,slob dpon chen po kha che rin chen rdo rje,,,
D1300,byung po thams cad kyi gtor ma'i cho ga zhes bya ba,author,P3299,,slob dpon nag po zhabs,,,
D1300,byung po thams cad kyi gtor ma'i cho ga zhes bya ba,translator,P2147,,lo tsA ba shA kya'i dge slong nyi ma rgyal mtshan dpal bzang po,,,
D1300,byung po thams cad kyi gtor ma'i cho ga zhes bya ba,translationplace,-,,dpal thar pa gling gi gtsug lag khang chen po,,,
D1301,kye'i rdo rje'i sgrub pa'i thabs,author,P4CZ10575,,slob dpon chen po 'jam dpal ye shes,,,
D1301,kye'i rdo rje'i sgrub pa'i thabs,translatorPandita,P4CZ10575,,rgya gar gyi mkhan po many+dzu shrI dz+nyA na,,,
