D0399,rgyud,4
D0400,rgyud,4
D0401,rgyud,5
D0402,rgyud,5
D0403,rgyud,4
D0404,rgyud,2
D0405,rgyud,6
D0406,rgyud,4
D0407,rgyud,3
D0408,rgyud,4
D0409,rgyud,3
D0410,rgyud,4
D0411,rgyud,5
D0412,rgyud,7
D0413,rgyud,11
D0414,rgyud,5
D0415,rgyud,4
D0416,rgyud,58
D0417,rgyud,25
D0418,rgyud,34
D0419,rgyud,72
D0420,rgyud,50
D0421,rgyud,12
D0422,rgyud,81
D0423,rgyud,13
D0424,rgyud,49
D0425,rgyud,9
D0426,rgyud,11
D0427,rgyud,10
D0428,rgyud,102
D0429,rgyud,58
D0430,rgyud,89
D0431,rgyud,78
D0432,rgyud,22
D0433,rgyud,5
D0434,rgyud,5
D0435,rgyud,22
D0436,rgyud,6
D0437,rgyud,27
D0438,rgyud,3
D0439,rgyud,5
D0440,rgyud,82
D0441,rgyud,7
D0442,rgyud,117
D0443,rgyud,20
D0444,rgyud,100
D0445,rgyud,140
D0446,rgyud,9
D0447,rgyud,9
D0448,rgyud,18
D0449,rgyud,29
D0450,rgyud,69
D0451,rgyud,46
D0452,rgyud,90
D0453,rgyud,457
D0454,rgyud,5
D0455,rgyud,10
D0456,rgyud,9
D0457,rgyud,7
D0458,rgyud,31
D0459,rgyud,13
D0460,rgyud,7
D0460a,rgyud,1
D0461,rgyud,52
D0462,rgyud,6
D0463,rgyud,3
D0464,rgyud,44
D0465,rgyud,7
D0466,rgyud,81
D0467,rgyud,35
D0468,rgyud,26
D0469,rgyud,8
D0470,rgyud,13
D0471,rgyud,2
D0472,rgyud,2
D0473,rgyud,22
D0474,rgyud,58
D0475,rgyud,60
D0476,rgyud,6
D0477,rgyud,112
D0478,rgyud,66
D0479,rgyud,282
D0480,rgyud,264
D0481,rgyud,18
D0482,rgyud,97
D0483,rgyud,76
D0484,rgyud,1
D0485,rgyud,100
D0486,rgyud,8
D0487,rgyud,46
D0488,rgyud,186
D0489,rgyud,13
D0490,rgyud,162
D0491,rgyud,2
D0492,rgyud,73
D0493,rgyud,65
D0494,rgyud,218
D0495,rgyud,122
D0496,rgyud,311
D0497,rgyud,3
D0498,rgyud,19
D0499,rgyud,11
D0500,rgyud,9
D0501,rgyud,9
D0502,rgyud,133
D0503,rgyud,51
D0504,rgyud,20
D0505,rgyud,5
D0505a,rgyud,1
D0506,rgyud,46
D0507,rgyud,13
D0508,rgyud,35
D0509,rgyud,3
D0510,rgyud,21
D0511,rgyud,8
D0512,rgyud,8
D0513,rgyud,4
D0514,rgyud,5
D0515,rgyud,4
D0516,rgyud,6
D0517,rgyud,8
D0518,rgyud,5
D0519,rgyud,5
D0520,rgyud,3
D0521,rgyud,1
D0522,rgyud,4
D0523,rgyud,4
D0524,rgyud,1
D0525,rgyud,19
D0526,rgyud,2
D0527,rgyud,28
D0528,rgyud,11
D0529,rgyud,5
D0530,rgyud,4
D0531,rgyud,3
D0532,rgyud,9
D0533,rgyud,1
D0534,rgyud,1
D0535,rgyud,2
D0536,rgyud,1
D0537,rgyud,1
D0538,rgyud,2
D0539,rgyud,1
D0539a,rgyud,1
D0539b,rgyud,1
D0539c,rgyud,1
D0539d,rgyud,1
D0539e,rgyud,1
D0539f,rgyud,2
D0540,rgyud,2
D0541,rgyud,2
D0542,rgyud,6
D0543,rgyud,493
D0544,rgyud,24
D0545,rgyud,2
D0546,rgyud,2
D0547,rgyud,2
D0548,rgyud,1
D0549,rgyud,1
D0550,rgyud,2
D0551,rgyud,2
D0552,rgyud,2
