,title,role,identification,reviewer,indicated value,ambiguity,note,sources
D0246,phags pa don dam pa'i chos kyis rnam par rgyal ba zhes bya ba theg pa chen po'i mdo,translatorPandita,P8210,,dA na shI la,,,
D0246,phags pa don dam pa'i chos kyis rnam par rgyal ba zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0247,phags pa chos dang don rnam par 'byed pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0247,phags pa chos dang don rnam par 'byed pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8210,,dA na shI la,,,
D0247,phags pa chos dang don rnam par 'byed pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0248,byang chub sems dpa'i so sor thar pa chos bzhi sgrub pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P3379,,rgya gar gyi mkhan po dI paM ka ra shrI dz+nyA na,,,
D0248,byang chub sems dpa'i so sor thar pa chos bzhi sgrub pa zhes bya ba theg pa chen po'i mdo,translator,P8216,,zhu chen gyi lots+tsha ba dge slong shAkya blo gros,,,
D0248,byang chub sems dpa'i so sor thar pa chos bzhi sgrub pa zhes bya ba theg pa chen po'i mdo,translator,P1242,,dge slong dge ba'i blo gros,,,
D0249,phags pa chos bzhi bstan pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8228,,rgya gar gyi mkhan po su ren dra bo d+hi,,,
D0249,phags pa chos bzhi bstan pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0253,chos gsum pa zhes bya ba'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0253,chos gsum pa zhes bya ba'i mdo,translator,P8220,,zhu chen gyi lo ts+tsha ba ban de de ba tsan dra,,,
D0253,chos gsum pa zhes bya ba'i mdo,revisor,P8182,,lo ts+tsha ba dpal brtsegs,,,
D0257,phags pa shin tu rgyas pa chen po'i sde nyi ma'i snying po zhes bya ba'i mdo,translatorPandita,P00KG07267,,rgya gar gyi mkhan po sarba dz+nyA de ba,,,
D0257,phags pa shin tu rgyas pa chen po'i sde nyi ma'i snying po zhes bya ba'i mdo,translatorPandita,P8211,,bid+yA ka ra pra b+ha,,,
D0257,phags pa shin tu rgyas pa chen po'i sde nyi ma'i snying po zhes bya ba'i mdo,translatorPandita,P8249,,d+harmA ka ra,,,
D0257,phags pa shin tu rgyas pa chen po'i sde nyi ma'i snying po zhes bya ba'i mdo,translator,P4256,,lo ts+tsha ba ban de bzang skyong,,,
D0258,phags pa de bzhin gshegs pa'i snying po zhes bya ba theg pa chen po'i mdo,translatorPandita,P4CZ16819,,rgya gar gyi mkhan po shAkya pra b+ha,,,
D0258,phags pa de bzhin gshegs pa'i snying po zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0259,phags pa yi ge med pa'i za ma tog rnam par snang mdzad kyi snying po zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0259,phags pa yi ge med pa'i za ma tog rnam par snang mdzad kyi snying po zhes bya ba theg pa chen po'i mdo,translatorPandita,P8210,,dA na shI la,,,
D0259,phags pa yi ge med pa'i za ma tog rnam par snang mdzad kyi snying po zhes bya ba theg pa chen po'i mdo,translatorPandita,P8261,,mu ni barma,,,
D0259,phags pa yi ge med pa'i za ma tog rnam par snang mdzad kyi snying po zhes bya ba theg pa chen po'i mdo,revisor,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0260,phags pa nam mkha'i snying po zhes bya ba theg pa chen po'i mdo,translatorPandita,P0AT0275,,rgya gar gyi mkhan po shAkya pra b+ha,,,
D0260,phags pa nam mkha'i snying po zhes bya ba theg pa chen po'i mdo,translatorPandita,P8265,,ban de rat+na rak+Shi ta,,,
D0269,phags pa phyogs bcu'i mun pa rnam par sel ba zhes bya ba theg pa chen po'i mdo,translatorPandita,P8219,,rgya gar gyi mkhan po bi shud d+ha sing ha,,,
D0269,phags pa phyogs bcu'i mun pa rnam par sel ba zhes bya ba theg pa chen po'i mdo,translatorPandita,P8212,,lots+tsha ba _ban de rtsangs de ben dra rak+Shi ta,,,
D0269,phags pa phyogs bcu'i mun pa rnam par sel ba zhes bya ba theg pa chen po'i mdo,revisor,P8183,,zhu chen gyi lots+tsha ba ban de klu'i rgyal mtshan,,,
D0271,phags pa sangs rgyas brgyad pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0271,phags pa sangs rgyas brgyad pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8228,,su ren+d+ra bo d+hi,,,
D0271,phags pa sangs rgyas brgyad pa zhes bya ba theg pa chen po'i mdo,revisor,P8205,,zhu chen gyi lo tsA ba ban de ye shes sde,,,
D0272,sangs rgyas bcu pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P4CZ15493,,rgya gar gyi mkhan po pradz+nyA war ma,,,
D0272,sangs rgyas bcu pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0273,phags pa sangs rgyas bcu gnyis pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0273,phags pa sangs rgyas bcu gnyis pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8210,,dA na shI la,,,
D0273,phags pa sangs rgyas bcu gnyis pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0274,phags pa sangs rgyas kyi dbu rgyan zhes bya ba theg pa chen po'i mdo chos kyi rnam grangs chen po,translatorPandita,P4CZ16854,,rgya gar gyi mkhan po shAkya sing ha,,,
D0274,phags pa sangs rgyas kyi dbu rgyan zhes bya ba theg pa chen po'i mdo chos kyi rnam grangs chen po,translator,P8212,,lots+tsha ba ban de de ben dra rak+Shi ta,,,
D0275,phags pa sangs rgyas kyi sa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0275,phags pa sangs rgyas kyi sa zhes bya ba theg pa chen po'i mdo,translatorPandita,P1KG8854,,shI len dra bo d+hi,,,
D0275,phags pa sangs rgyas kyi sa zhes bya ba theg pa chen po'i mdo,translatorPandita,P4CZ15493,,pradz+nyA bar ma,,,
D0275,phags pa sangs rgyas kyi sa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0276,phags pa sangs rgyas mi spang ba zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0276,phags pa sangs rgyas mi spang ba zhes bya ba theg pa chen po'i mdo,translatorPandita,P4CZ15493,,pradz+nyA warma,,,
D0276,phags pa sangs rgyas mi spang ba zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0277,phags pa dkyil 'khor brgyad pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8228,,rgya gar gyi mkhan po su ren+d+ra bo d+hi,,,
D0277,phags pa dkyil 'khor brgyad pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0278,phags pa bkra shis brgyad pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8228,,rgya gar gyi mkhan po su ren+d+ra bo d+hi,,,
D0278,phags pa bkra shis brgyad pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo tsA ba ban de ye shes sde,,,
D0286,phags pa 'gro ba thams cad yongs su skyob par byed pa zhes bya ba'i yongs su bsngo ba,translatorPandita,P8211,,rgya gar gyi mkhan po bi d+yA ka ra pra b+ha,,,
D0286,phags pa 'gro ba thams cad yongs su skyob par byed pa zhes bya ba'i yongs su bsngo ba,translator,P4255,,lots+tsha ba ban de ye shes snying po,,,
D0286,phags pa 'gro ba thams cad yongs su skyob par byed pa zhes bya ba'i yongs su bsngo ba,revisor,P8182,,zhu chen gyi lots+tsha ba ban de dpal brtsegs,,,
D0288,mdo chen po sgyu ma'i dra ba zhes bya ba,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0288,mdo chen po sgyu ma'i dra ba zhes bya ba,translatorPandita,P4CZ15493,,pradz+nyA warma,,,
D0289,mdo chen po gzugs can snying pos bsu ba zhes bya ba,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0289,mdo chen po gzugs can snying pos bsu ba zhes bya ba,translatorPandita,P4CZ15493,,pradz+nyA warma,,,
D0289,mdo chen po gzugs can snying pos bsu ba zhes bya ba,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0290,mdo chen po stong pa nyid ces bya ba,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0290,mdo chen po stong pa nyid ces bya ba,translatorPandita,P4CZ15493,,pradz+nyA warma,,,
D0290,mdo chen po stong pa nyid ces bya ba,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0291,mdo chen po stong pa nyid chen po zhes bya ba,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0291,mdo chen po stong pa nyid chen po zhes bya ba,translatorPandita,P4CZ15493,,pradz+nyA warma,,,
D0291,mdo chen po stong pa nyid chen po zhes bya ba,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0292,mdo chen po rgyal mtshan mchog ces bya ba,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0292,mdo chen po rgyal mtshan mchog ces bya ba,translatorPandita,P4CZ15493,,pradz+nyA warma,,,
D0292,mdo chen po rgyal mtshan mchog ces bya ba,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0293,mdo chen po rgyal mtshan dam pa zhes bya ba,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0293,mdo chen po rgyal mtshan dam pa zhes bya ba,translatorPandita,P4CZ15493,,pradz+nyA warma,,,
D0293,mdo chen po rgyal mtshan dam pa zhes bya ba,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0294,mdo chen po lnga gsum pa zhes bya ba,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0294,mdo chen po lnga gsum pa zhes bya ba,translatorPandita,P4CZ15493,,pradz+nyA warma,,,
D0294,mdo chen po lnga gsum pa zhes bya ba,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0295,phags pa rdo 'phangs pa'i mdo,translator,P4256,,lots+tsha ba bzang skyong,,,
D0295,phags pa rdo 'phangs pa'i mdo,revisor,P8182,,dpal brtsegs,,,
D0298,gaN DI'i mdo,translatorPandita,P8171,,rgya gar gyi mkhan po d+har+m+ma shrI b+ha dra,,,
D0298,gaN DI'i mdo,translator,P753,,lots+tsha ba dge slong rin chen bzang po,,,
D0299,gaN DI'i dus kyi mdo,translatorPandita,P3379,,rgya gar gyi mkhan po dI paM ka ra shrI dz+nyA na,,,
D0299,gaN DI'i dus kyi mdo,translator,P1242,,lots+tsha ba dge slong dge ba'i blo gros,,,
D0301,mngon par 'byung ba'i mdo,translatorPandita,P8171,,rgya gar gyi mkhan po A tsar+ya d+harma shrI b+ha dra,,,
D0301,mngon par 'byung ba'i mdo,translator,P753,,zhu chen gyi lots+tsha ba dge slong rin chen bzang po,,,
D0304,ltung ba sde lnga'i dge ba dang mi dge ba'i 'bras bu brtag pa'i mdo,translatorPandita,P0AT0097,,rgya gar gyi mkhan po A tsar+ya dz+nyA na shrI gub ta,,,
D0304,ltung ba sde lnga'i dge ba dang mi dge ba'i 'bras bu brtag pa'i mdo,translator,P8216,,bod kyi lo ts+tsha ba dge slong shAkya blo gros,,,
D0306,rnam par grol ba'i lam las sbyangs pa'i yon tan bstan pa zhes bya ba,translatorPandita,P8211,,rgya gar gyi mkhan po bid+yA ka ra pra b+ha,,,
D0306,rnam par grol ba'i lam las sbyangs pa'i yon tan bstan pa zhes bya ba,translator,P8182,,zhu chen gyi lo ts+tsha ba ban+de dpal brtsegs,,,
D0307,tshe'i mtha'i mdo,translatorPandita,P8219,,rgya gar gyi mkhan po bi shud d+ha sing ha,,,
D0307,tshe'i mtha'i mdo,translator,P4263,,lo ts+tsha ba ban de dge ba'i dpal,,,
D0307,tshe'i mtha'i mdo,revisor,P8182,,zhu chen gyi lo ts+tsha ba ban de dpal brtsegs,,,
D0309,mi rtag pa nyid kyi mdo,translatorPandita,P8228,,rgya gar gyi mkhan po su ren dra bo d+hi,,,
D0309,mi rtag pa nyid kyi mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de zhang ye shes sde,,,
D0317,don rnam par nges pa zhes bya ba'i chos kyi rnam grangs,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0317,don rnam par nges pa zhes bya ba'i chos kyi rnam grangs,translatorPandita,P4CZ15493,,pra dz+nyA ba rma,,,
D0317,don rnam par nges pa zhes bya ba'i chos kyi rnam grangs,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D0319,phags pa rmad du byung ba zhes bya ba'i chos kyi rnam grangs,revisor,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0320,phags pa de bzhin gshegs pa'i gzugs brnyan bzhag pa'i phan yon yang dag par brjod pa zhes bya ba'i chos kyi rnam grangs,translatorPandita,P8249,,rgya gar gyi mkhan po d+ha rmA ka ra,,,
D0320,phags pa de bzhin gshegs pa'i gzugs brnyan bzhag pa'i phan yon yang dag par brjod pa zhes bya ba'i chos kyi rnam grangs,translator,P4255,,lo ts+tsha ba ban de ye shes snying po,,,
D0320,phags pa de bzhin gshegs pa'i gzugs brnyan bzhag pa'i phan yon yang dag par brjod pa zhes bya ba'i chos kyi rnam grangs,revisor,P8182,,ban de dpal brtsegs,,,
D0326,ched du brjod pa'i tshoms,translatorPandita,P8211,,rgya gar gyi mkhan po bid+yA pra b+ha ka ra,,,
D0326,ched du brjod pa'i tshoms,translator,P2JM5,,lo ts+tsha ba ban de rin chen,,,
D0326,ched du brjod pa'i tshoms,revisor,P8182,,zhu chen gyi lo ts+tsha ba ban de dpal brtsegs,,,
D0327,phags pa skyes bu dam pa'i mdo,translatorPandita,P8249,,rgya gar gyi mkhan po d+harmA ka ra,,,
D0327,phags pa skyes bu dam pa'i mdo,translator,P4256,,lo ts+tsha ba ban de bzang skyong,,,
D0327,phags pa skyes bu dam pa'i mdo,revisor,P8182,,ban de dpal brtsegs,,,
D0330,lha'i mdo nyung ngu,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0332,khang bu brtsegs pa'i mdo,translatorPandita,P8265,,zhu chen gyi lo ts+tsha ba ra da na ra k+Shi ta,,,
D0333,phags pa gnas 'jog gi mdo zhes bya ba,translatorPandita,P00KG07267,,rgya gar gyi mkhan po sarba dz+nya de ba,,,
D0333,phags pa gnas 'jog gi mdo zhes bya ba,translator,P8182,,zhu chen gyi lo ts+tsha ba ban de dpal brtsegs,,,
D0334,phags pa dga' ba can gyi mdo,translatorPandita,P4CZ16854,,rgya gar gyi mkhan po shAkya sing ha,,,
D0334,phags pa dga' ba can gyi mdo,translator,?,to check,lo ts+tsha ba ban de byin gyi snying po,,,
D0343,gang po la sogs pa'i rtogs pa brjod pa brgya pa,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0343,gang po la sogs pa'i rtogs pa brjod pa brgya pa,translatorPandita,P8220,,zhu chen gyi lots+tsha ba ban de de ba tsan dra,,,
D0344,phags pa sangs rgyas kyi rtogs pa brjod pa shes ldan gyi mdo,translatorPandita,P8213,,rgya gar gyi mkhan po bid+yA ka ra sing ha,,,
D0344,phags pa sangs rgyas kyi rtogs pa brjod pa shes ldan gyi mdo,translatorPandita,P00KG07267,,sarba dz+nyA de ba,,,
D0344,phags pa sangs rgyas kyi rtogs pa brjod pa shes ldan gyi mdo,translator,P8182,,zhu chen gyi lo ts+tsha ba ban de dpal brtsegs,,,
D0345,phag mo'i rtogs pa brjod pa zhes bya ba'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0345,phag mo'i rtogs pa brjod pa zhes bya ba'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0346,ma ga d+hA bzang mo'i rtogs pa brjod pa,translatorPandita,P8171,,rgya gar gyi mkhan po d+harma shrI b+ha dra,,,
D0346,ma ga d+hA bzang mo'i rtogs pa brjod pa,translator,P4530,,zhu chen gyi lots+tsha ba dge slong tshul khrims yon tan,,,
D0346,ma ga d+hA bzang mo'i rtogs pa brjod pa,revisor,P753,,sgra sgyur gyi lots+tsha ba chen po dge slong rin chen bzang po,,,
D0347,bsod nams kyi stobs kyi rtogs pa brjod pa,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0347,bsod nams kyi stobs kyi rtogs pa brjod pa,translatorPandita,P8220,,zhu chen gyi lots+tsha ba ban de de ba tsan dra,,,
D0348,zla 'od kyi rtogs pa brjod pa,translatorPandita,P8171,,rgya gar gyi mkhan po d+harma shrI b+ha dra,,,
D0348,zla 'od kyi rtogs pa brjod pa,translator,P4242,,zhu chen gyi lots+tsha ba dge slong shes rab legs pa,,,
D0348,zla 'od kyi rtogs pa brjod pa,revisor,P753,,dge slong rin chen bzang po,,,
D0349,dpal gyi sde'i rtogs pa brjod pa,translatorPandita,P8171,,rgya gar gyi mkhan po d+harmA shrI b+ha dra,,,
D0349,dpal gyi sde'i rtogs pa brjod pa,translator,P4242,,zhu chen gyi lots+tsha ba dge slong shes rab legs pa,,,
D0349,dpal gyi sde'i rtogs pa brjod pa,revisor,P753,,sgra bsgyur gyi lots+tsha ba chen po dge slong rin chen bzang po,,,
D0351,phags pa rgyal bu don grub kyi mdo,revisorPandita,?,to check,sngon rgya las 'gyur ba'i brda rnying par 'dug,,,
D0354,phags pa legs nyes kyi rgyu dang 'bras bu bstan pa zhes bya ba theg pa chen po'i mdo,translator,P8221,,zhu chen gyi lots+tsha ba ban de chos grub,,,
D0358,stag rna'i rtogs pa brjod pa,translatorPandita,P3379,,rgya gar gyi mkhan po dge slong a dzi ta shrI b+ha dra,,,
D0358,stag rna'i rtogs pa brjod pa,translator,P2554,,zhu chen gyi lots+tsha ba seng kar dge slong shAkya 'od,,,
D0359a,phags pa dum bu zhe gnyis pa zhes bya ba'i mdo,translatorPandita,P0AT0093,,bka' bcu su b+hag shre yang+h+wa dza,,,
D0359a,phags pa dum bu zhe gnyis pa zhes bya ba'i mdo,translatorPandita,P0AT0094,,bka' bcu d+h+yA nA riSh+DaM byAs,,,
D0360,jam dpal ye shes sems dpa'i don dam pa'i mtshan yang dag par brjod pa,translator,P2085,to check,sgra bsgyur gyi lo tsA ba dge slong blo gros brtan pa,,,
D0360,jam dpal ye shes sems dpa'i don dam pa'i mtshan yang dag par brjod pa,translationplace,-,,bsam gtan gling gi dben gnas,,,
D0361,dbang mdor bstan pa,translatorPandita,P3244,,kha che'i paN+Di ta so ma nA tha,,,
D0361,dbang mdor bstan pa,translator,P2553,,bod kyi lo tsA ba 'bro dge slong shes rab grags pa,,,
D0361,dbang mdor bstan pa,revisor,P4284,,sgra tshad pa rin chen rgyal mtshan,,,
D0362,mchog gi dang po'i sangs rgyas las phyung ba rgyud kyi rgyal po dpal dus kyi 'khor lo zhes bya ba,translatorPandita,P3244,,kha che'i paN+Di ta so ma nA tha,,,
D0362,mchog gi dang po'i sangs rgyas las phyung ba rgyud kyi rgyal po dpal dus kyi 'khor lo zhes bya ba,translator,P2553,,bod kyi lo tsA ba 'bro dge slong shes rab grags,,,
D0362,mchog gi dang po'i sangs rgyas las phyung ba rgyud kyi rgyal po dpal dus kyi 'khor lo zhes bya ba,revisor,P1046,,dge slong shong ston,,,
D0362,mchog gi dang po'i sangs rgyas las phyung ba rgyud kyi rgyal po dpal dus kyi 'khor lo zhes bya ba,revisionplace,-,,dpal sa skya'i gtsug lag khang chen po,,,
D0363,dpal dus kyi 'khor lo'i rgyud phyi ma rgyud kyi snying po zhes bya ba,translator,P6524,to check,shAkya'i dge slong gnyen chung d+harma grags,,,
D0364,dpal dus kyi 'khor lo zhes bya ba'i rgyud kyi snying po,translatorPandita,P8128,,rgya gar gyi mkhan po shrI b+ha dra bo d+hi,,,
D0364,dpal dus kyi 'khor lo zhes bya ba'i rgyud kyi snying po,translator,P8129,,bod kyi lots+tsha ba gyi jo ban+de zla ba'i 'od zer,,,
D0364,dpal dus kyi 'khor lo zhes bya ba'i rgyud kyi snying po,revisor,P2553,,,,,
D0365,dbang gi rab tu byed pa,translatorPandita,P8141,,rgya gar gyi paN+Di ta mkhas pa chen po sa man+ta shrI,,,
D0365,dbang gi rab tu byed pa,translator,P3146,,lots+tsha ba dge slong chos rab,,,
D0365,dbang gi rab tu byed pa,revisor,P1052,,,,,
D0367,rtog pa thams cad 'dus pa zhes bya ba sangs rgyas thams cad dang mnyam par sbyor ba mkha' 'gro sgyu ma bde ba'i mchog gi rgyud phyi ma'i phyi ma,translatorPandita,P4849,,rgya gar gyi mkhan po smri ti dz+nyA na kIrti,,,
D0367,rtog pa thams cad 'dus pa zhes bya ba sangs rgyas thams cad dang mnyam par sbyor ba mkha' 'gro sgyu ma bde ba'i mchog gi rgyud phyi ma'i phyi ma,revisor,P3476,,yon bdag bod kyi mkhan po gzhon nu grags pa,,,
D0368,rgyud kyi rgyal po dpal bde mchog nyung ngu zhes bya ba,translatorPandita,P8194,,mkhas pa padmA ka ra,,,
D0368,rgyud kyi rgyal po dpal bde mchog nyung ngu zhes bya ba,translator,P753,,rin chen bzang po,,,
D0368,rgyud kyi rgyal po dpal bde mchog nyung ngu zhes bya ba,revisor,P1245,,sgra sgyur dge slong pradznyA kIrti,,,
D0368,rgyud kyi rgyal po dpal bde mchog nyung ngu zhes bya ba,revisor2,P3814,,mar pa sgra bsgyur chos kyi dbang phyug,,,
D0369,mngon par brjod pa'i rgyud bla ma zhes bya ba,translatorPandita,P3379,,rgya gar gyi mkhan po paN+Di ta chen po dI pang+ka ra shrI dz+nyA na,,,
D0369,mngon par brjod pa'i rgyud bla ma zhes bya ba,translator,P753,,bod kyi lots+tsha ba chen po dge slong rin chen bzang po,,,
D0369,mngon par brjod pa'i rgyud bla ma zhes bya ba,revisor,P8179,,lots+tsha ba khyung po chos kyi brtson 'grus,,,
D0369,mngon par brjod pa'i rgyud bla ma zhes bya ba,revisor2Pandita,P8252,to check,paN+Di ta chen po A ran+da shrI,,,
D0369,mngon par brjod pa'i rgyud bla ma zhes bya ba,revisor2,P3389,to check,lo chung,,,
D0370,rgyud kyi rgyal po chen po dpal rdo rje mkha' 'gro zhes bya ba,translatorPandita,P3302,to check,rgya gar gyi paN+Di ta chen po ga ya d+ha ra,,,
D0370,rgyud kyi rgyal po chen po dpal rdo rje mkha' 'gro zhes bya ba,translator,P3458,,bod kyi zhu chen gyi lots+tsha ba 'gos lhas btsas,,,
D0371,rdo rje mkha' 'gro zhes bya ba'i rgyud phyi ma,translatorPandita,P8253,,rgya gar gyi mkhan po chen po mchog gi dbang phyug,,,
D0371,rdo rje mkha' 'gro zhes bya ba'i rgyud phyi ma,translator,P4243,,bod kyi dge slong shAkya brtson 'grus,,,
D0371,rdo rje mkha' 'gro zhes bya ba'i rgyud phyi ma,translationplace,-,,grom pa ru lag rgyang phu'i lha ri mo'i mgul gyi dben gnas su bsgyur ba'o,,,
