,title,role,identification,reviewer,indicated value,ambiguity,note,sources
D0053,phags pa chos bcu pa zhes bya ba theg pa chen po'i,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0053,phags pa chos bcu pa zhes bya ba theg pa chen po'i,translatorPandita,P8228,,su ren dra bo d+hi,,,
D0053,phags pa chos bcu pa zhes bya ba theg pa chen po'i,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0054,phags pa kun nas sgo'i le'u zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0054,phags pa kun nas sgo'i le'u zhes bya ba theg pa chen po'i mdo,translatorPandita,P8228,,su ren dra bo d+hi,,,
D0054,phags pa kun nas sgo'i le'u zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0056,phags pa byang chub sems dpa'i sde snod ces bya ba theg pa chen po'i mdo,translatorPandita,P8228,,rgya gar gyi mkhan po A tsar+ya su ren dra,,,
D0056,phags pa byang chub sems dpa'i sde snod ces bya ba theg pa chen po'i mdo,translatorPandita,P1KG8854,,shI len dra,,,
D0056,phags pa byang chub sems dpa'i sde snod ces bya ba theg pa chen po'i mdo,translator,P8266,,A tsAr+ya d+ha rma ta shI la,,,
D0059,phags pa 'jam dpal gyi sangs rgyas kyi zhing gi yon tan bkod pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P1KG8854,,rgya gar gyi mkhan po shI len dra bo d+hi,,,
D0059,phags pa 'jam dpal gyi sangs rgyas kyi zhing gi yon tan bkod pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,dzi na mi tra,,,
D0059,phags pa 'jam dpal gyi sangs rgyas kyi zhing gi yon tan bkod pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0060,phags pa yab dang sras mjal ba zhes bya ba theg pa chen po'i mdo,translatorPandita,P1KG8854,,rgya gar gyi mkhan po shI len dra bo d+hi,,,
D0060,phags pa yab dang sras mjal ba zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,dzi na mi tra,,,
D0060,phags pa yab dang sras mjal ba zhes bya ba theg pa chen po'i mdo,translatorPandita,P8210,,dA na shI la,,,
D0060,phags pa yab dang sras mjal ba zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0062,phags pa yul 'khor skyong gis zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0062,phags pa yul 'khor skyong gis zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8210,,dA na shI la,,,
D0062,phags pa yul 'khor skyong gis zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8261,,mu ni warma,,,
D0062,phags pa yul 'khor skyong gis zhus pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0063,phags pa khyim bdag drag shul can gyis zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8228,,rgya gar gyi mkhan po su ren dra bo d+hi,,,
D0063,phags pa khyim bdag drag shul can gyis zhus pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0065,phags pa sgyu ma mkhan bzang po lung bstan pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0065,phags pa sgyu ma mkhan bzang po lung bstan pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P4CZ15493,,pradz+nya barma,,,
D0065,phags pa sgyu ma mkhan bzang po lung bstan pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0066,phags pa cho 'phrul chen po bstan pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0066,phags pa cho 'phrul chen po bstan pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8228,,su ren dra bo d+hi,,,
D0066,phags pa cho 'phrul chen po bstan pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P4CZ15493,,pradz+nya barma,,,
D0066,phags pa cho 'phrul chen po bstan pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0067,phags pa byams pa'i seng ge'i sgra chen po zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0067,phags pa byams pa'i seng ge'i sgra chen po zhes bya ba theg pa chen po'i mdo,translatorPandita,P8228,,su ren dra bo d+hi,,,
D0067,phags pa byams pa'i seng ge'i sgra chen po zhes bya ba theg pa chen po'i mdo,translatorPandita,P4CZ15493,,pradz+nya barma,,,
D0067,phags pa byams pa'i seng ge'i sgra chen po zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0068,phags pa 'dul ba rnam par gtan la dbab pa nye bar 'khor gyis zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0068,phags pa 'dul ba rnam par gtan la dbab pa nye bar 'khor gyis zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P4CZ15493,,pradz+nya barma,,,
D0068,phags pa 'dul ba rnam par gtan la dbab pa nye bar 'khor gyis zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8228,,su ren dra bo d+hi,,,
D0068,phags pa 'dul ba rnam par gtan la dbab pa nye bar 'khor gyis zhus pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0069,phags pa lhag pa'i bsam pa bskul ba zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0069,phags pa lhag pa'i bsam pa bskul ba zhes bya ba theg pa chen po'i mdo,translatorPandita,P8228,,su ren dra bo d+hi,,,
D0069,phags pa lhag pa'i bsam pa bskul ba zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0070,phags pa lag bzangs kyis zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8210,,rgya gar gyi mkhan po dA na shrI la,,,
D0070,phags pa lag bzangs kyis zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,dzi na mi tra,,,
D0070,phags pa lag bzangs kyis zhus pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0071,phags pa nges pas zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0071,phags pa nges pas zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8228,,su ren dra bo d+hi,,,
D0071,phags pa nges pas zhus pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0072,phags pa khyim bdag dpas byin gyis zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0072,phags pa khyim bdag dpas byin gyis zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8210,,dA na shI la,,,
D0072,phags pa khyim bdag dpas byin gyis zhus pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0073,phags pa bad sa'i rgyal po 'char byed kyis zhus pa zhes bya ba'i le'u,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0073,phags pa bad sa'i rgyal po 'char byed kyis zhus pa zhes bya ba'i le'u,translatorPandita,P8228,,su ren dra bo d+hi,,,
D0073,phags pa bad sa'i rgyal po 'char byed kyis zhus pa zhes bya ba'i le'u,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0074,phags pa bu mo blo gros bzang mos zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0074,phags pa bu mo blo gros bzang mos zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8228,,su ren dra bo d+hi,,,
D0074,phags pa bu mo blo gros bzang mos zhus pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0075,phags pa gang gA'i mchog gis zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0075,phags pa gang gA'i mchog gis zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8210,,dA na shI la,,,
D0075,phags pa gang gA'i mchog gis zhus pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0076,phags pa mya ngan med kyis byin pa lung bstan pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0076,phags pa mya ngan med kyis byin pa lung bstan pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8228,,su ren dra bo d+hi,,,
D0076,phags pa mya ngan med kyis byin pa lung bstan pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0077,phags pa dri ma med kyis byin pas zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0077,phags pa dri ma med kyis byin pas zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8228,,su ren dra bo d+hi,,,
